x,y,z,yaw
200.779089465,124.26231821,0,56.5452869597
201.661078969,125.597150146,0,56.9241184432
202.534736018,126.938571311,0,57.3104931169
203.399834508,128.286643693,0,57.7044137213
204.25614834,129.641429284,0,58.1058806861
205.103451412,131.002990074,0,58.514891921
205.941517624,132.371388052,0,58.9314426041
206.770120875,133.746685209,0,59.355524967
207.589035063,135.128943534,0,59.7871280774
208.398034088,136.518225019,0,60.2262376201
209.196891849,137.914591654,0,60.6728356764
209.985382244,139.318105427,0,61.1269005021
210.763279173,140.728828331,0,61.5884063066
211.530356535,142.146822354,0,62.0573230314
212.286388229,143.572149487,0,62.5336161301
213.031148153,145.00487172,0,63.0172463512
213.764410208,146.445051043,0,63.5081695237
214.485948292,147.892749447,0,64.0063363457
215.195536303,149.348028922,0,64.5116921799
215.892948142,150.810951457,0,65.0241768536
216.577957707,152.281579043,0,65.5437244665
217.250338897,153.75997367,0,66.0702632073
217.909865611,155.246197328,0,66.6037151787
218.556311748,156.740312008,0,67.1439962344
219.189451207,158.2423797,0,67.6910158274
219.809057888,159.752462393,0,68.2446768718
220.41490569,161.270622078,0,68.8048756191
221.00676851,162.796920745,0,69.3715015503
221.584420249,164.331420384,0,69.9444372856
222.147634805,165.874182986,0,70.5235585112
222.696186078,167.42527054,0,71.108733927
223.229847967,168.984745037,0,71.6998252141
223.74839437,170.552668466,0,72.2966870241
224.251599186,172.129102819,0,72.8991669917
224.739236316,173.714110085,0,73.5071057698
225.211079657,175.307752255,0,74.1203370902
225.666903108,176.910091317,0,74.7386878489
226.10648057,178.521189264,0,75.3619782169
226.52958594,180.141108084,0,75.9900217771
226.935993118,181.769909769,0,76.6226256882
227.325476003,183.407656307,0,77.2595908741
227.697808494,185.05440969,0,77.9007122402
228.05276449,186.710231907,0,78.5457789157
228.39011789,188.375184949,0,79.1945745213
228.709642593,190.049330806,0,79.8468774626
229.011112498,191.732731468,0,80.5024612467
229.294301504,193.425448925,0,81.1610948229
229.55898351,195.127545167,0,81.8225429447
229.804932416,196.839082185,0,82.486566553
230.03192212,198.560121968,0,83.1529231781
230.239726521,200.290726507,0,83.8213673589
230.428119518,202.030957792,0,84.4916510779
230.596875011,203.780877813,0,85.1635242095
230.745766898,205.54054856,0,85.8367349799
230.874569078,207.310032024,0,86.511030436
230.983055451,209.089390195,0,87.1861569212
231.070999916,210.878685062,0,87.8618605558
231.138176371,212.677978616,0,88.5378877194
231.184358716,214.487332847,0,89.2139855333
231.209320849,216.306809746,0,89.8899023395
231.21283667,218.136471302,0,90.5653881753
231.194680078,219.976379505,0,91.2401952401
231.154624971,221.826596346,0,91.9140783526
231.092445249,223.687183815,0,92.5867953958
231.007914811,225.558203902,0,93.2581077483
230.900807556,227.439718598,0,93.9277807
230.770897383,229.331789892,0,94.595583849
230.617958191,231.234479774,0,95.26129148
230.441763879,233.147850235,0,95.924682922
230.242088346,235.071963265,0,96.5855428828
230.018705491,237.006880854,0,97.2436617609
229.771389213,238.952664992,0,97.8988359334
229.499913411,240.909377669,0,98.550868018
229.204051984,242.877080876,0,99.1995671104
228.883578832,244.855836603,0,99.8447489949
228.538267853,246.845706839,0,100.48623633
228.167892946,248.846753576,0,101.123858806
227.77222801,250.859038803,0,101.757453278
227.351046945,252.88262451,0,102.386863875
226.904123649,254.917572687,0,103.011942078
226.431232022,256.963945325,0,103.632546782
225.932145963,259.021804414,0,104.248544325
225.406639369,261.091211944,0,104.859808501
224.854486142,263.172229905,0,105.466220546
224.275460179,265.264920288,0,106.067669111
223.669335379,267.369345082,0,106.664050201
223.035885643,269.485566277,0,107.255267112
222.374884868,271.613645865,0,107.841230335
221.686106954,273.753645834,0,108.421857455
220.969325799,275.905628175,0,108.997073033
220.224315304,278.069654879,0,109.566808465
219.450849367,280.245787935,0,110.13100184
218.648701886,282.434089334,0,110.689597786
217.817646761,284.634621065,0,111.242547294
216.957457892,286.84744512,0,111.789807549
216.067909176,289.072623487,0,112.331341743
215.148774514,291.310218158,0,112.867118886
214.199827803,293.560291122,0,113.397113611
213.220842944,295.82290437,0,113.921305972
212.211593835,298.098119891,0,114.439681245
211.171854375,300.385999677,0,114.952229721
210.101398464,302.686605716,0,115.4589465
209.0,305.0,0,115.4589465
Town_control,vehicle.lincoln.mkz201,no_obstacle
